trade_id,symbol,direction,quantity,entry_price,exit_price,entry_time,exit_time,gross_pnl,commission,slippage,net_pnl,net_pnl_pct,holding_period_bars,exit_reason,signal_at_entry,signal_at_exit,stop_loss,take_profit,atr_at_entry,dna_id,generation,run_id,indicator_snapshot
620c2402,INFY.NS,LONG,14,1405.1036511230468,1473.4251243896485,2025-04-09 00:00:00+05:30,2025-04-23 00:00:00+05:30,956.5006257324244,0.07,20.648600341795373,935.782025390629,0.047570564056796674,14,signal,0.7883373555638985,0.19251047068517654,1348.60009765625,1489.858981323242,27.5499267578125,,0,0,{}
8cc11b2a,WIPRO.NS,LONG,84,236.88664389038084,241.2585,2025-04-09 00:00:00+05:30,2025-04-30 00:00:00+05:30,367.2359132080094,0.42,20.286000000000172,346.5299132080092,0.01741489533503697,21,signal,0.7800538757054242,0.2864051634902788,220.04998779296875,262.14162803649896,8.300003051757812,,0,0,{}
e2026e07,NESTLEIND.NS,SHORT,17,1171.252623779297,1167.0659244384765,2025-04-09 00:00:00+05:30,2025-05-02 00:00:00+05:30,71.17388879394844,0.085,19.820300415037764,51.26858837891068,0.002574849571457428,23,signal,-0.7991979210692506,-0.1272352867198287,1262.8251953125,1033.8937664794926,45.2000732421875,,0,0,{}
9d6f6a22,TCS.NS,LONG,6,3249.846697753906,3409.587,2025-04-09 00:00:00+05:30,2025-04-23 00:00:00+05:30,958.4418134765638,0.03,20.478000000000065,937.9338134765637,0.04810143886298831,14,signal,0.7453429826547546,0.020273285638572565,3130.7001953125,3428.5664514160153,57.949951171875,,0,0,{}
b9f29114,LT.NS,LONG,6,3057.2040522460934,3254.3424975585935,2025-04-09 00:00:00+05:30,2025-04-15 00:00:00+05:30,1182.830671875001,0.03,19.5456005859387,1163.2550712890622,0.06341606314187806,6,signal,0.7322685769387556,0.1943836508171656,2832.5498046875,3394.1854235839837,110.800048828125,,0,0,{}
77582e1a,ASIANPAINT.NS,SHORT,8,2408.738752441406,2490.73825,2025-04-09 00:00:00+05:30,2025-04-24 00:00:00+05:30,-655.9959804687496,0.04,19.90599999999904,-675.9419804687486,-0.03507758883065045,15,stop_loss,-0.7781933917309057,-0.710104291633336,2488.25,2289.4718811035154,38.550048828125,,0,0,{}
83983b81,HCLTECH.NS,LONG,14,1381.3799999999999,1480.518,2025-04-09 00:00:00+05:30,2025-04-21 00:00:00+05:30,1387.932000000002,0.07,20.747999999999593,1367.1140000000025,0.07069090329959908,12,signal,0.8088319091966729,0.2108501200474742,1316.7001953125,1478.3997070312498,31.64990234375,,0,0,{}
fc680d81,TECHM.NS,LONG,15,1274.0227499999999,1372.1265,2025-04-09 00:00:00+05:30,2025-04-21 00:00:00+05:30,1471.5562500000033,0.075,20.602499999998827,1450.8787500000044,0.07592113249155112,12,signal,0.7757018707005487,0.14929044942111902,1201.550048828125,1382.7318017578123,35.5999755859375,,0,0,{}
273f194f,TATASTEEL.NS,LONG,157,127.30718030548094,139.04081268310546,2025-04-09 00:00:00+05:30,2025-04-21 00:00:00+05:30,1842.1802832870492,0.785,21.85125885009944,1819.5440244369497,0.09103533953968003,12,signal,0.7642067124571781,0.1713795099345683,117.7800064086914,141.59794115066524,4.6999969482421875,,0,0,{}
413fb835,HINDUNILVR.NS,SHORT,8,2363.7837524414062,2469.6170522460934,2025-04-11 00:00:00+05:30,2025-04-24 00:00:00+05:30,-846.6663984374973,0.04,19.737199218747264,-866.4435976562445,-0.04581867930819329,13,stop_loss,-0.7039396251161915,-0.25856741150454454,2467.14990234375,2208.7345275878906,50.5,,0,0,{}
